mensaje_id|remitente|prioridad|fecha|clave_id|texto_original|texto_cifrado
250|Zoila|baja|2026-10-08|K10|el modulo compara red mensaje y remitente dentro de sistema de respaldo|mw alqpwl ylanxhx hmq amfdxkm e hmaujmfjm qmfjhl qm dudjmax qm hmdnxwql
251|Ana|alta|2026-10-09|S01|tabla de claves genera ejemplo de algoritmo para busqueda eficiente|:!@+! $% #+!>%; &%=%}! %)%-]+[ $% !+&[}(:-[ ]!}! @<;{<%$! %^(#(%=:%
252|Bruno|media|2026-10-10|S02|prueba de clave confirma contador en registro de acceso para proteger la red|<,/)&^ () *{^!) *:;_=,}^ *:;?^(:, ); ,)+=.?,: () ^**).: <^,^ <,:?)+), {^ ,)(
253|Carla|alta|2026-10-11|S03|terminal remota bloquea acceso sin usar biblioteca externa porque contiene remitente|%]#.:?+, #]./%+ -,/@^]+ +==]$/ $:? ^$+# -:-,:/%]=+ ](%]#?+ !/#@^] =/?%:]?] #].:%]?%]
254|Diego|media|2026-10-12|S04|el indice del estacion de analisis sincroniza datos antes del amanecer|># /%</:> <># >)_}:/^% <> }%}#/)/) )/%:(^%/{} <}_^) }%_>) <># }$}%>:>(
255|Elena|baja|2026-10-13|S05|analiza frecuencia del paquete de datos para comparar frecuencia y laboratorio|._.(^,. #[@/}@_/^. !@( -.=}@{@ !@ !.{+] -.[. /+)-.[.[ #[@/}@_/^. > (.?+[.{+[^+
256|Fernando|alta|2026-10-14|K01|analista revisa mensaje urgente en mensajes distintos usando sistema frecuente|qfqsolzq ktcolq dtflqpt xkutfzt tf dtflqptl rolzofzgl xlqfrg lolztdq yktextfzt
257|Gabriela|media|2026-10-15|K02|informe final mantiene longitud y texto listos para comparar frecuencias|kdxsofc xkdmg fmdukcdc gsdzkuyv w uceus gkiusi amom bsfamomo xocbycdbkmi
258|Hector|baja|2026-10-16|K03|buscar laboratorio en base de pruebas permite medir equivalencia como caso de prueba|hvrqpk nphdkpcdkad if hpri gi xkvihpr xikoaci oigak ijvaspnifqap qdod qprd gi xkvihp
259|Isabel|alta|2026-10-17|K04|reporte indica que repositorio local filtra resultados con prioridad baja|qdonqsd hmchbz ptd qdonrhsnqhn knbzk ehksqz qdrtkszcnr bnm oqhnqhczc aziz
260|Jorge|media|2026-10-18|K05|consola de monitoreo usa resultado para probar cifrado y descifrado para el analista|xlmhloz wv nlmrglivl fhz ivhfogzwl kziz kilyzi xruizwl b wvhxruizwl kziz vo zmzorhgz
261|Karla|baja|2026-10-19|K06|cuando modulo de busqueda requiere revision se registra datos con posicion|dvboep npevmp ef cvtrvfeb sfrvjfsf sfwjtjpo tf sfhjtusb ebupt dpo qptjdjpo
262|Luis|alta|2026-10-20|K07|el modulo compara ordenamiento archivo y servidor dentro de lista de remitentes|am npotmp wpnblcl pcoaxlnsaxjp lcwisqp z racqsopc oaxjcp oa msrjl oa cansjaxjar
263|Mariana|media|2026-10-21|K08|cola de prioridad genera ejemplo de mensaje para busqueda eficiente|ifbe ou gjrfjroeo puduje usucgbf ou cudkesu geje amkhmuoe uyrirudlu
264|Nicolas|alta|2026-10-22|K09|prueba de fecha confirma frecuencia en motor de frecuencia con tabla inversa|yadnkj mn onlqj lxworavj oanldnwlrj nw vxcxa mn oanldnwlrj lxw cjkuj rwenabj
265|Olivia|media|2026-10-23|K10|bitacora cifrada analiza frecuencia con datos del remitente cuando encuentra letra|oujxylhx yuchxqx xfxwuvx chmypmfyux ylf qxjld qmw hmaujmfjm ypxfql mfypmfjhx wmjhx
266|Pablo|baja|2026-10-24|S01|el palabra del indice de palabras ordena mensajes mediante sustitucion fija|%+ ]!+!@}! $%+ (=$(#% $% ]!+!@}!; [}$%=! -%=;!)%; -%$(!=:% ;<;:(:<#([= ^()!
267|Raquel|alta|2026-10-25|S02|compara patrones del matriz de equivalencias para comparar equivalencia y fecha|*:}<^,^ <^?,:;). (){ }^?,=% () )>/=!^{);*=^. <^,^ *:}<^,^, )>/=!^{);*=^ $ _)*-^
268|Sergio|media|2026-10-26|S03|analista revisa control de acceso en el turno vespertino usando lista frecuente|+?+,:$%+ #]&:$+ =/?%#/, [] +==]$/ ]? ], %^#?/ &]$!]#%:?/ ^$+?[/ ,:$%+ {#]=^]?%]
269|Teresa|baja|2026-10-27|S04|directorio secreto mantiene archivo y red listos para buscar ataque|</(>:_^(/^ )>:(>_^ $}%_/>%> }(:?/-^ ] (>< #/)_^) &}(} ;+):}( }_}*+>
270|Ulises|alta|2026-10-28|S05|buscar cifrado en panel de auditoria permite medir tabla con criterio alfabetico|?}]/.[ /^#[.!+ @_ -._@( !@ .}!^{+[^. -@[)^{@ )@!^[ {.?(. /+_ /[^{@[^+ .(#.?@{^/+
271|Valeria|media|2026-10-29|K01|reporte indica que servidor principal requiere revision durante la noche|kthgkzt ofroeq jxt ltkcorgk hkofeohqs ktjxotkt ktcologf rxkqfzt sq fgeit
272|Walter|baja|2026-10-30|K02|laboratorio central usa equipo para probar cifrado y descifrado para la prueba final|gmnsomusoks bcduomg yim cpykas amom aosnmo bkxomvs w vcibkxomvs amom gm aoycnm xkdmg
273|Ximena|alta|2026-10-31|K03|cuando red interna bloquea acceso se registra tabla con clave|qvpfgd kig afcikfp hndjvip pqqird ri kimarckp cphnp qdf qnpsi
274|Yolanda|media|2026-11-01|K04|el modulo compara texto prioridad y ataque dentro de archivo historico|dk lnctkn bnlozqz sdwsn oqhnqhczc x zszptd cdmsqn cd zqbghun ghrsnqhbn
275|Zaira|alta|2026-11-02|K05|canal seguro genera ejemplo de prioridad para busqueda eficiente|xzmzo hvtfil tvmviz vqvnkol wv kirlirwzw kziz yfhjfvwz vurxrvmgv
276|Adrian|media|2026-11-03|K06|prueba de posicion confirma datos en equipo azul con prioridad media|qsvfcb ef qptjdjpo dpogjsnb ebupt fo frvjqp bavm dpo qsjpsjebe nfejb
277|Beatriz|baja|2026-11-04|K07|equipo rojo compara patrones segun la clave activa despues de cifrar servidor|adtsbp cpvp wpnblcl bljcpxar rautx ml wmlqa lwjsql oarbtar oa wsyclc racqsopc
278|Cesar|alta|2026-11-05|K08|el busqueda del nodo norte clasifica prioridad segun fecha registrada|ub amkhmuoe oub dfof dfjlu ibekryrie gjrfjroeo kupmd yuiqe juprkljeoe
279|Daniela|media|2026-11-06|K09|filtra resultados del puerta oeste para comparar contador y cifrado|orucaj anbducjmxb mnu ydnacj xnbcn yjaj lxvyjaja lxwcjmxa h lroajmx
280|Emilio|baja|2026-11-07|K10|analista revisa sistema de respaldo en modo silencioso usando red frecuente|xfxwudjx hmzudx dudjmax qm hmdnxwql mf alql duwmfyuldl pdxfql hmq chmypmfjm
281|Fabiola|alta|2026-11-08|S01|tabla de claves mantiene algoritmo y sistema listos sin repetir palabras|:!@+! $% #+!>%; -!=:(%=% !+&[}(:-[ ? ;(;:%-! +(;:[; ;(= }%]%:(} ]!+!@}!;
282|Gustavo|media|2026-11-09|S02|buscar clave en registro de acceso permite medir contador para proteger la red|&/.*^, *{^!) ); ,)+=.?,: () ^**).: <),}=?) })(=, *:;?^(:, <^,^ <,:?)+), {^ ,)(
283|Helena|baja|2026-11-10|S03|reporte indica que terminal remota bloquea acceso sin usar biblioteca externa|#]!/#%] :?[:=+ @^] %]#.:?+, #]./%+ -,/@^]+ +==]$/ $:? ^$+# -:-,:/%]=+ ](%]#?+
284|Ivan|alta|2026-11-11|S04|estacion de analisis usa indice para probar cifrado y descifrado antes del amanecer|>)_}:/^% <> }%}#/)/) +)} /%</:> &}(} &(^;}( :/,(}<^ ] <>):/,(}<^ }%_>) <># }$}%>:>(
285|Julieta|media|2026-11-12|S05|cuando paquete de datos analiza frecuencia se registra frecuencia con laboratorio|/}._!+ -.=}@{@ !@ !.{+] ._.(^,. #[@/}@_/^. ]@ [@$^]{[. #[@/}@_/^. /+_ (.?+[.{+[^+
286|Kevin|alta|2026-11-13|K01|el modulo compara sistema algoritmo y letra dentro de mensaje urgente|ts dgrxsg egdhqkq lolztdq qsugkozdg n stzkq rtfzkg rt dtflqpt xkutfzt
287|Laura|media|2026-11-14|K02|informe final genera ejemplo de longitud para busqueda eficiente|kdxsofc xkdmg zcdcom cjcfags vc gsdzkuyv amom nyipycvm cxkbkcduc
288|Mateo|baja|2026-11-15|K03|prueba de laboratorio confirma equivalencia en base de pruebas como caso de prueba|xkvihp gi nphdkpcdkad qdfuakop ijvaspnifqap if hpri gi xkvihpr qdod qprd gi xkvihp
289|Natalia|alta|2026-11-16|K04|repositorio local filtra resultados con prioridad baja para revisar patron|qdonrhsnqhn knbzk ehksqz qdrtkszcnr bnm oqhnqhczc aziz ozqz qduhrzq ozsqnm
290|Oscar|media|2026-11-17|K05|el resultado del consola de monitoreo separa palabras para el analista|vo ivhfogzwl wvo xlmhloz wv nlmrglivl hvkziz kzozyizh kziz vo zmzorhgz
291|Patricia|baja|2026-11-18|K06|requiere revision del modulo de busqueda para comparar datos y posicion|sfrvjfsf sfwjtjpo efm npevmp ef cvtrvfeb qbsb dpnqbsbs ebupt z qptjdjpo
292|Rafael|alta|2026-11-19|K07|analista revisa lista de remitentes con memoria controlada usando ordenamiento frecuente|lxlmsrjl caqsrl msrjl oa cansjaxjar wpx nanpcsl wpxjcpmlol trlxop pcoaxlnsaxjp ycawtaxja
293|Silvia|media|2026-11-20|K08|cola de prioridad mantiene mensaje y ordenamiento listos con prioridad alta|ifbe ou gjrfjroeo cedlrudu cudkesu z fjoudecrudlf brklfk ifd gjrfjroeo eble
294|Tomas|baja|2026-11-21|K09|buscar fecha en motor de frecuencia permite medir frecuencia con tabla inversa|kdblja onlqj nw vxcxa mn oanldnwlrj ynavrcn vnmra oanldnwlrj lxw cjkuj rwenabj
295|Uriel|alta|2026-11-22|K10|reporte indica que bitacora cifrada analiza frecuencia con datos del remitente|hmnlhjm ufquyx tpm oujxylhx yuchxqx xfxwuvx chmypmfyux ylf qxjld qmw hmaujmfjm
296|Veronica|media|2026-11-23|S01|indice de palabras usa palabra para probar cifrado y descifrado mediante sustitucion fija|(=$(#% $% ]!+!@}!; <;! ]!+!@}! ]!}! ]}[@!} #(^}!$[ ? $%;#(^}!$[ -%$(!=:% ;<;:(:<#([= ^()!
297|Wendy|alta|2026-11-24|S02|cuando matriz de equivalencias compara patrones se registra equivalencia con fecha|*/^;(: }^?,=% () )>/=!^{);*=^. *:}<^,^ <^?,:;). .) ,)+=.?,^ )>/=!^{);*=^ *:; _)*-^
298|Xavier|media|2026-11-25|S03|el modulo compara lista longitud y patron dentro de control de acceso|], ./[^,/ =/.!+#+ ,:$%+ ,/?}:%^[ ) !+%#/? []?%#/ [] =/?%#/, [] +==]$/
299|Yadira|baja|2026-11-26|S04|directorio secreto genera ejemplo de archivo para busqueda eficiente|</(>:_^(/^ )>:(>_^ .>%>(} >!>$&#^ <> }(:?/-^ &}(} ;+)*+><} >,/:/>%_>
300|Zoila|alta|2026-11-27|S05|prueba de cifrado confirma tabla en panel de auditoria con criterio alfabetico|-[}@?. !@ /^#[.!+ /+_#^[). {.?(. @_ -._@( !@ .}!^{+[^. /+_ /[^{@[^+ .(#.?@{^/+
301|Ana|media|2026-11-28|K01|servidor principal requiere revision durante la noche y conserva ataque|ltkcorgk hkofeohqs ktjxotkt ktcologf rxkqfzt sq fgeit n egfltkcq qzqjxt
302|Bruno|baja|2026-11-29|K02|el equipo del laboratorio central registra cambio para la prueba final|cg cpykas vcg gmnsomusoks bcduomg oczkiuom bmfnks amom gm aoycnm xkdmg
303|Carla|alta|2026-11-30|K03|bloquea acceso del red interna para comparar tabla y clave|hndjvip pqqird gin kig afcikfp xpkp qdoxpkpk cphnp w qnpsi
304|Diego|media|2026-12-01|K04|analista revisa archivo historico por longitud del texto usando texto frecuente|zmzkhrsz qduhrz zqbghun ghrsnqhbn onq knmfhstc cdk sdwsn trzmcn sdwsn eqdbtdmsd
305|Elena|baja|2026-12-02|K05|canal seguro mantiene prioridad y lista listos para reporte de clase|xzmzo hvtfil nzmgrvmv kirlirwzw b orhgz orhglh kziz ivkligv wv xozhv
306|Fernando|alta|2026-12-03|K06|buscar posicion en equipo azul permite medir datos con prioridad media|cvtdbs qptjdjpo fo frvjqp bavm qfsnjuf nfejs ebupt dpo qsjpsjebe nfejb
307|Gabriela|media|2026-12-04|K07|reporte indica que equipo rojo compara patrones segun la clave activa|cabpcja sxoswl dta adtsbp cpvp wpnblcl bljcpxar rautx ml wmlqa lwjsql
308|Hector|alta|2026-12-05|K08|nodo norte usa busqueda para probar cifrado y descifrado segun fecha registrada|dfof dfjlu mke amkhmuoe geje gjfaej iryjeof z oukiryjeof kupmd yuiqe juprkljeoe
309|Isabel|media|2026-12-06|K09|cuando puerta oeste filtra resultados se registra contador con cifrado|ldjwmx ydnacj xnbcn orucaj anbducjmxb bn anprbcaj lxwcjmxa lxw lroajmx
310|Jorge|baja|2026-12-07|K10|el modulo compara red mensaje y remitente dentro de sistema de respaldo|mw alqpwl ylanxhx hmq amfdxkm e hmaujmfjm qmfjhl qm dudjmax qm hmdnxwql
311|Karla|alta|2026-12-08|S01|tabla de claves genera ejemplo de algoritmo para busqueda eficiente|:!@+! $% #+!>%; &%=%}! %)%-]+[ $% !+&[}(:-[ ]!}! @<;{<%$! %^(#(%=:%
312|Luis|media|2026-12-09|S02|prueba de clave confirma contador en registro de acceso para proteger la red|<,/)&^ () *{^!) *:;_=,}^ *:;?^(:, ); ,)+=.?,: () ^**).: <^,^ <,:?)+), {^ ,)(
313|Mariana|baja|2026-12-10|S03|terminal remota bloquea acceso sin usar biblioteca externa porque contiene remitente|%]#.:?+, #]./%+ -,/@^]+ +==]$/ $:? ^$+# -:-,:/%]=+ ](%]#?+ !/#@^] =/?%:]?] #].:%]?%]
314|Nicolas|alta|2026-12-11|S04|el indice del estacion de analisis sincroniza datos antes del amanecer|># /%</:> <># >)_}:/^% <> }%}#/)/) )/%:(^%/{} <}_^) }%_>) <># }$}%>:>(
315|Olivia|media|2026-12-12|S05|analiza frecuencia del paquete de datos para comparar frecuencia y laboratorio|._.(^,. #[@/}@_/^. !@( -.=}@{@ !@ !.{+] -.[. /+)-.[.[ #[@/}@_/^. > (.?+[.{+[^+
316|Pablo|baja|2026-12-13|K01|analista revisa mensaje urgente en mensajes distintos usando sistema frecuente|qfqsolzq ktcolq dtflqpt xkutfzt tf dtflqptl rolzofzgl xlqfrg lolztdq yktextfzt
317|Raquel|alta|2026-12-14|K02|informe final mantiene longitud y texto listos para comparar frecuencias|kdxsofc xkdmg fmdukcdc gsdzkuyv w uceus gkiusi amom bsfamomo xocbycdbkmi
318|Sergio|media|2026-12-15|K03|buscar laboratorio en base de pruebas permite medir equivalencia como caso de prueba|hvrqpk nphdkpcdkad if hpri gi xkvihpr xikoaci oigak ijvaspnifqap qdod qprd gi xkvihp
319|Teresa|alta|2026-12-16|K04|reporte indica que repositorio local filtra resultados con prioridad baja|qdonqsd hmchbz ptd qdonrhsnqhn knbzk ehksqz qdrtkszcnr bnm oqhnqhczc aziz
320|Ulises|media|2026-12-17|K05|consola de monitoreo usa resultado para probar cifrado y descifrado para el analista|xlmhloz wv nlmrglivl fhz ivhfogzwl kziz kilyzi xruizwl b wvhxruizwl kziz vo zmzorhgz
321|Valeria|baja|2026-12-18|K06|cuando modulo de busqueda requiere revision se registra datos con posicion|dvboep npevmp ef cvtrvfeb sfrvjfsf sfwjtjpo tf sfhjtusb ebupt dpo qptjdjpo
322|Walter|alta|2026-12-19|K07|el modulo compara ordenamiento archivo y servidor dentro de lista de remitentes|am npotmp wpnblcl pcoaxlnsaxjp lcwisqp z racqsopc oaxjcp oa msrjl oa cansjaxjar
323|Ximena|media|2026-12-20|K08|cola de prioridad genera ejemplo de mensaje para busqueda eficiente|ifbe ou gjrfjroeo puduje usucgbf ou cudkesu geje amkhmuoe uyrirudlu
324|Yolanda|baja|2026-12-21|K09|prueba de fecha confirma frecuencia en motor de frecuencia con tabla inversa|yadnkj mn onlqj lxworavj oanldnwlrj nw vxcxa mn oanldnwlrj lxw cjkuj rwenabj
325|Zaira|alta|2026-12-22|K10|bitacora cifrada analiza frecuencia con datos del remitente cuando encuentra letra|oujxylhx yuchxqx xfxwuvx chmypmfyux ylf qxjld qmw hmaujmfjm ypxfql mfypmfjhx wmjhx
326|Adrian|media|2026-12-23|S01|el palabra del indice de palabras ordena mensajes mediante sustitucion fija|%+ ]!+!@}! $%+ (=$(#% $% ]!+!@}!; [}$%=! -%=;!)%; -%$(!=:% ;<;:(:<#([= ^()!
327|Beatriz|baja|2026-12-24|S02|compara patrones del matriz de equivalencias para comparar equivalencia y fecha|*:}<^,^ <^?,:;). (){ }^?,=% () )>/=!^{);*=^. <^,^ *:}<^,^, )>/=!^{);*=^ $ _)*-^
328|Cesar|alta|2026-12-25|S03|analista revisa control de acceso en el turno vespertino usando lista frecuente|+?+,:$%+ #]&:$+ =/?%#/, [] +==]$/ ]? ], %^#?/ &]$!]#%:?/ ^$+?[/ ,:$%+ {#]=^]?%]
329|Daniela|media|2026-12-26|S04|directorio secreto mantiene archivo y red listos para buscar ataque|</(>:_^(/^ )>:(>_^ $}%_/>%> }(:?/-^ ] (>< #/)_^) &}(} ;+):}( }_}*+>
330|Emilio|alta|2026-12-27|S05|buscar cifrado en panel de auditoria permite medir tabla con criterio alfabetico|?}]/.[ /^#[.!+ @_ -._@( !@ .}!^{+[^. -@[)^{@ )@!^[ {.?(. /+_ /[^{@[^+ .(#.?@{^/+
331|Fabiola|media|2026-12-28|K01|reporte indica que servidor principal requiere revision durante la noche|kthgkzt ofroeq jxt ltkcorgk hkofeohqs ktjxotkt ktcologf rxkqfzt sq fgeit
332|Gustavo|baja|2026-12-29|K02|laboratorio central usa equipo para probar cifrado y descifrado para la prueba final|gmnsomusoks bcduomg yim cpykas amom aosnmo bkxomvs w vcibkxomvs amom gm aoycnm xkdmg
333|Helena|alta|2026-12-30|K03|cuando red interna bloquea acceso se registra tabla con clave|qvpfgd kig afcikfp hndjvip pqqird ri kimarckp cphnp qdf qnpsi
334|Ivan|media|2026-12-31|K04|el modulo compara texto prioridad y ataque dentro de archivo historico|dk lnctkn bnlozqz sdwsn oqhnqhczc x zszptd cdmsqn cd zqbghun ghrsnqhbn
335|Julieta|baja|2027-01-01|K05|canal seguro genera ejemplo de prioridad para busqueda eficiente|xzmzo hvtfil tvmviz vqvnkol wv kirlirwzw kziz yfhjfvwz vurxrvmgv
336|Kevin|alta|2027-01-02|K06|prueba de posicion confirma datos en equipo azul con prioridad media|qsvfcb ef qptjdjpo dpogjsnb ebupt fo frvjqp bavm dpo qsjpsjebe nfejb
337|Laura|media|2027-01-03|K07|equipo rojo compara patrones segun la clave activa despues de cifrar servidor|adtsbp cpvp wpnblcl bljcpxar rautx ml wmlqa lwjsql oarbtar oa wsyclc racqsopc
338|Mateo|baja|2027-01-04|K08|el busqueda del nodo norte clasifica prioridad segun fecha registrada|ub amkhmuoe oub dfof dfjlu ibekryrie gjrfjroeo kupmd yuiqe juprkljeoe
339|Natalia|alta|2027-01-05|K09|filtra resultados del puerta oeste para comparar contador y cifrado|orucaj anbducjmxb mnu ydnacj xnbcn yjaj lxvyjaja lxwcjmxa h lroajmx
340|Oscar|media|2027-01-06|K10|analista revisa sistema de respaldo en modo silencioso usando red frecuente|xfxwudjx hmzudx dudjmax qm hmdnxwql mf alql duwmfyuldl pdxfql hmq chmypmfjm
341|Patricia|alta|2027-01-07|S01|tabla de claves mantiene algoritmo y sistema listos sin repetir palabras|:!@+! $% #+!>%; -!=:(%=% !+&[}(:-[ ? ;(;:%-! +(;:[; ;(= }%]%:(} ]!+!@}!;
342|Rafael|media|2027-01-08|S02|buscar clave en registro de acceso permite medir contador para proteger la red|&/.*^, *{^!) ); ,)+=.?,: () ^**).: <),}=?) })(=, *:;?^(:, <^,^ <,:?)+), {^ ,)(
343|Silvia|baja|2027-01-09|S03|reporte indica que terminal remota bloquea acceso sin usar biblioteca externa|#]!/#%] :?[:=+ @^] %]#.:?+, #]./%+ -,/@^]+ +==]$/ $:? ^$+# -:-,:/%]=+ ](%]#?+
344|Tomas|alta|2027-01-10|S04|estacion de analisis usa indice para probar cifrado y descifrado antes del amanecer|>)_}:/^% <> }%}#/)/) +)} /%</:> &}(} &(^;}( :/,(}<^ ] <>):/,(}<^ }%_>) <># }$}%>:>(
345|Uriel|media|2027-01-11|S05|cuando paquete de datos analiza frecuencia se registra frecuencia con laboratorio|/}._!+ -.=}@{@ !@ !.{+] ._.(^,. #[@/}@_/^. ]@ [@$^]{[. #[@/}@_/^. /+_ (.?+[.{+[^+
346|Veronica|baja|2027-01-12|K01|el modulo compara sistema algoritmo y letra dentro de mensaje urgente|ts dgrxsg egdhqkq lolztdq qsugkozdg n stzkq rtfzkg rt dtflqpt xkutfzt
347|Wendy|alta|2027-01-13|K02|informe final genera ejemplo de longitud para busqueda eficiente|kdxsofc xkdmg zcdcom cjcfags vc gsdzkuyv amom nyipycvm cxkbkcduc
348|Xavier|media|2027-01-14|K03|prueba de laboratorio confirma equivalencia en base de pruebas como caso de prueba|xkvihp gi nphdkpcdkad qdfuakop ijvaspnifqap if hpri gi xkvihpr qdod qprd gi xkvihp
349|Yadira|baja|2027-01-15|K04|repositorio local filtra resultados con prioridad baja para revisar patron|qdonrhsnqhn knbzk ehksqz qdrtkszcnr bnm oqhnqhczc aziz ozqz qduhrzq ozsqnm
350|Zoila|alta|2027-01-16|K05|el resultado del consola de monitoreo separa palabras para el analista|vo ivhfogzwl wvo xlmhloz wv nlmrglivl hvkziz kzozyizh kziz vo zmzorhgz
351|Ana|media|2027-01-17|K06|requiere revision del modulo de busqueda para comparar datos y posicion|sfrvjfsf sfwjtjpo efm npevmp ef cvtrvfeb qbsb dpnqbsbs ebupt z qptjdjpo
352|Bruno|alta|2027-01-18|K07|analista revisa lista de remitentes con memoria controlada usando ordenamiento frecuente|lxlmsrjl caqsrl msrjl oa cansjaxjar wpx nanpcsl wpxjcpmlol trlxop pcoaxlnsaxjp ycawtaxja
353|Carla|media|2027-01-19|K08|cola de prioridad mantiene mensaje y ordenamiento listos con prioridad alta|ifbe ou gjrfjroeo cedlrudu cudkesu z fjoudecrudlf brklfk ifd gjrfjroeo eble
354|Diego|baja|2027-01-20|K09|buscar fecha en motor de frecuencia permite medir frecuencia con tabla inversa|kdblja onlqj nw vxcxa mn oanldnwlrj ynavrcn vnmra oanldnwlrj lxw cjkuj rwenabj
355|Elena|alta|2027-01-21|K10|reporte indica que bitacora cifrada analiza frecuencia con datos del remitente|hmnlhjm ufquyx tpm oujxylhx yuchxqx xfxwuvx chmypmfyux ylf qxjld qmw hmaujmfjm
356|Fernando|media|2027-01-22|S01|indice de palabras usa palabra para probar cifrado y descifrado mediante sustitucion fija|(=$(#% $% ]!+!@}!; <;! ]!+!@}! ]!}! ]}[@!} #(^}!$[ ? $%;#(^}!$[ -%$(!=:% ;<;:(:<#([= ^()!
357|Gabriela|baja|2027-01-23|S02|cuando matriz de equivalencias compara patrones se registra equivalencia con fecha|*/^;(: }^?,=% () )>/=!^{);*=^. *:}<^,^ <^?,:;). .) ,)+=.?,^ )>/=!^{);*=^ *:; _)*-^
358|Hector|alta|2027-01-24|S03|el modulo compara lista longitud y patron dentro de control de acceso|], ./[^,/ =/.!+#+ ,:$%+ ,/?}:%^[ ) !+%#/? []?%#/ [] =/?%#/, [] +==]$/
359|Isabel|media|2027-01-25|S04|directorio secreto genera ejemplo de archivo para busqueda eficiente|</(>:_^(/^ )>:(>_^ .>%>(} >!>$&#^ <> }(:?/-^ &}(} ;+)*+><} >,/:/>%_>
360|Jorge|baja|2027-01-26|S05|prueba de cifrado confirma tabla en panel de auditoria con criterio alfabetico|-[}@?. !@ /^#[.!+ /+_#^[). {.?(. @_ -._@( !@ .}!^{+[^. /+_ /[^{@[^+ .(#.?@{^/+
361|Karla|alta|2027-01-27|K01|servidor principal requiere revision durante la noche y conserva ataque|ltkcorgk hkofeohqs ktjxotkt ktcologf rxkqfzt sq fgeit n egfltkcq qzqjxt
362|Luis|media|2027-01-28|K02|el equipo del laboratorio central registra cambio para la prueba final|cg cpykas vcg gmnsomusoks bcduomg oczkiuom bmfnks amom gm aoycnm xkdmg
363|Mariana|alta|2027-01-29|K03|bloquea acceso del red interna para comparar tabla y clave|hndjvip pqqird gin kig afcikfp xpkp qdoxpkpk cphnp w qnpsi
364|Nicolas|media|2027-01-30|K04|analista revisa archivo historico por longitud del texto usando texto frecuente|zmzkhrsz qduhrz zqbghun ghrsnqhbn onq knmfhstc cdk sdwsn trzmcn sdwsn eqdbtdmsd
365|Olivia|baja|2027-01-31|K05|canal seguro mantiene prioridad y lista listos para reporte de clase|xzmzo hvtfil nzmgrvmv kirlirwzw b orhgz orhglh kziz ivkligv wv xozhv
366|Pablo|alta|2027-02-01|K06|buscar posicion en equipo azul permite medir datos con prioridad media|cvtdbs qptjdjpo fo frvjqp bavm qfsnjuf nfejs ebupt dpo qsjpsjebe nfejb
367|Raquel|media|2027-02-02|K07|reporte indica que equipo rojo compara patrones segun la clave activa|cabpcja sxoswl dta adtsbp cpvp wpnblcl bljcpxar rautx ml wmlqa lwjsql
368|Sergio|baja|2027-02-03|K08|nodo norte usa busqueda para probar cifrado y descifrado segun fecha registrada|dfof dfjlu mke amkhmuoe geje gjfaej iryjeof z oukiryjeof kupmd yuiqe juprkljeoe
369|Teresa|alta|2027-02-04|K09|cuando puerta oeste filtra resultados se registra contador con cifrado|ldjwmx ydnacj xnbcn orucaj anbducjmxb bn anprbcaj lxwcjmxa lxw lroajmx
370|Ulises|media|2027-02-05|K10|el modulo compara red mensaje y remitente dentro de sistema de respaldo|mw alqpwl ylanxhx hmq amfdxkm e hmaujmfjm qmfjhl qm dudjmax qm hmdnxwql
371|Valeria|baja|2027-02-06|S01|tabla de claves genera ejemplo de algoritmo para busqueda eficiente|:!@+! $% #+!>%; &%=%}! %)%-]+[ $% !+&[}(:-[ ]!}! @<;{<%$! %^(#(%=:%
372|Walter|alta|2027-02-07|S02|prueba de clave confirma contador en registro de acceso para proteger la red|<,/)&^ () *{^!) *:;_=,}^ *:;?^(:, ); ,)+=.?,: () ^**).: <^,^ <,:?)+), {^ ,)(
373|Ximena|media|2027-02-08|S03|terminal remota bloquea acceso sin usar biblioteca externa porque contiene remitente|%]#.:?+, #]./%+ -,/@^]+ +==]$/ $:? ^$+# -:-,:/%]=+ ](%]#?+ !/#@^] =/?%:]?] #].:%]?%]
374|Yolanda|alta|2027-02-09|S04|el indice del estacion de analisis sincroniza datos antes del amanecer|># /%</:> <># >)_}:/^% <> }%}#/)/) )/%:(^%/{} <}_^) }%_>) <># }$}%>:>(
375|Zaira|media|2027-02-10|S05|analiza frecuencia del paquete de datos para comparar frecuencia y laboratorio|._.(^,. #[@/}@_/^. !@( -.=}@{@ !@ !.{+] -.[. /+)-.[.[ #[@/}@_/^. > (.?+[.{+[^+
376|Adrian|baja|2027-02-11|K01|analista revisa mensaje urgente en mensajes distintos usando sistema frecuente|qfqsolzq ktcolq dtflqpt xkutfzt tf dtflqptl rolzofzgl xlqfrg lolztdq yktextfzt
377|Beatriz|alta|2027-02-12|K02|informe final mantiene longitud y texto listos para comparar frecuencias|kdxsofc xkdmg fmdukcdc gsdzkuyv w uceus gkiusi amom bsfamomo xocbycdbkmi
378|Cesar|media|2027-02-13|K03|buscar laboratorio en base de pruebas permite medir equivalencia como caso de prueba|hvrqpk nphdkpcdkad if hpri gi xkvihpr xikoaci oigak ijvaspnifqap qdod qprd gi xkvihp
379|Daniela|baja|2027-02-14|K04|reporte indica que repositorio local filtra resultados con prioridad baja|qdonqsd hmchbz ptd qdonrhsnqhn knbzk ehksqz qdrtkszcnr bnm oqhnqhczc aziz
